id,id soseda
2501453,2503397
2501453,2503430
2501453,2503399
2501453,2503532
260865,260541
16203713,16203501
16203713,16203711
3901903,3902001
3901903,3901365
3901903,3901905
3901903,3902009
3901903,3902530
3901903,3901366
3901903,3901833
3901903,3902531
3901903,3901364
3901903,3901901
1102127,1102126
10234,101331
10234,10421
10234,10232
2601390,2602622
3901846,3902006
2602945,2602907
13803666,13803678
13803666,13803665
30495,303077
30495,302510
30495,302411
30495,30238
30495,30496
30495,30497
30495,302361
30495,302630
10473,10345
10473,101939
10473,101814
10473,10474
10473,10308
10473,10469
302510,301284
302510,30268
302510,303077
302510,30267
302510,302411
302510,30238
302510,30496
302510,30497
302510,30495
302510,302630
13803867,13803866
13803867,13803865
2503100,2502870
2102485,210524
2102485,101783
2102485,2102766
2102485,101249
2102485,2102503
2102485,2102498
2102485,2102504
2102485,2101754
50451,50117
2504016,2504014
2504016,2504015
3901094,3901095
3901094,3903162
3901094,3902410
3901094,3901093
3901094,3901843
101267,10272
101267,10270
101267,101266
101267,10269
101267,101329
101267,10271
101267,103821
101267,102440
301500,301817
301500,301501
301500,301269
301500,301499
5701313,5701311
5701313,5701312
40514,402011
250728,250727
30616,302711
30616,301069
30616,30695
30616,301035
30616,30696
30616,30697
101772,101773
101772,101591
101772,101592
101772,101593
101772,101594
13803758,13803760
13803758,13803757
13803758,13803756
13803758,13803761
13803758,13803759
403613,403507
403613,403750
403613,403749
403613,403506
1101265,110377
1101265,1102609
1101265,1102644
1101265,110459
1101265,1102454
1101265,1101551
1101265,1101264
1101265,1101407
1101265,110460
1101265,110152
1101265,1102619
1101265,1102464
3901581,3901078
3901581,3901079
3901581,3901077
3901581,3901580
302639,302638
302639,301063
302639,30179
302639,302512
302639,302201
302639,301068
302639,302735
302639,303089
5801028,5801030
5801028,5801029
16203011,16203010
16203011,16203014
2701318,2701317
2701318,2701319
10424,102708
10424,10425
1102367,1102366
1102367,1102377
1102367,1102376
1033,10242
1033,10216
1033,10241
1033,10647
1033,101121
1033,101349
1033,10257
1033,101052
1033,10164
1033,101348
1033,10165
1033,101623
1033,10258
260849,2602610
3902529,3902528
3902529,3902527
3902529,3902526
403078,403098
2502316,2503350
2502316,250874
2502316,2502320
10832,102786
10832,102787
10832,10833
10832,102785
5901872,5901889
16203380,16203431
16203380,16203410
16203380,16203401
16201647,1620745
5702211,5703153
5702211,5702208
5702211,5702210
250790,2503703
250790,2503704
1101727,110314
10218,10340
10218,101097
10218,10219
10218,101096
10218,101380
10218,10220
2601216,2603240
2601216,2601215
110837,1103552
110837,1103553
110837,110838
110837,110847
2101991,2101992
260799,2601221
260799,260802
260799,260798
1101232,1102472
1101232,1102621
1101232,1101231
2803788,2803634
2803788,2803787
2803788,2802106
2803788,2803635
2803788,2803637
101375,101370
101375,10231
101375,101376
101375,10230
16203683,16203682
2501193,2501191
2501193,2501189
2501193,2501194
2501193,2501192
2501193,2501190
5402747,5402746
16201201,16203455
16201201,16201202
3902180,3902181
3902180,3902178
1103976,1103975
302414,303362
302414,30850
2102997,2102378
5702207,5702208
5702207,5702210
2601129,2601128
302947,30268
302947,302629
302947,303152
301392,30304
301392,302711
301392,30324
301392,30199
301392,301035
301392,30358
301392,30696
301392,30146
301392,301535
301392,30305
301392,30697
301392,30438
301392,30288
301392,301578
300700,300702
300700,300699
300700,300701
300700,300703
300700,300704
109,101121
109,101349
109,10257
109,101347
109,10423
109,10164
109,101348
109,10165
109,10258
250786,2501196
250786,2501195
250786,250678
101699,101440
101699,102774
2803634,2803787
2803634,2802106
2803634,2803635
2803634,2802107
2803634,2803636
2803634,2803788
2803634,2803637
210177,210176
210177,210439
30207,30190
30207,301233
30207,30528
30207,30208
30207,30125
502771,502781
502771,502770
2601715,2601714
2601715,2601717
2601715,2601716
2601715,2601713
2102885,2102859
2102885,2102886
2102885,2102851
13803934,16303364
13803934,13803945
13803934,16303363
13803934,13803946
13803934,16301637
13803934,13803935
10465,10272
10465,10270
10465,10224
10465,10261
10465,101329
10465,1018
10465,10273
10465,10996
10465,10262
10465,102440
10465,10426
260808,260809
30179,301063
30179,302512
30179,302201
30179,301068
30179,302735
30179,302639
30179,30317
30179,3073
3902991,3902956
3902991,3902034
3902991,3903004
3902991,3902952
3902991,3901355
3902991,3903000
3902991,3902035
3902991,3902953
10936,103692
10936,10606
210209,210217
210209,2101943
210209,2102601
210209,2102600
2602752,260784
16303559,16303372
16303559,16303560
102774,101440
102774,101699
102774,102775
30895,30351
30895,302735
30895,30352
30895,301244
102324,10540
101621,10723
101621,103086
101621,10285
101621,101622
101621,101051
3901082,3901081
3901082,3901084
3901082,3901080
3901082,3901088
110460,1101265
110460,110377
110460,1102644
110460,110459
110460,110395
110460,1102454
110460,1101551
110460,1101264
110460,1101123
110460,110585
110460,1102464
2601607,2602594
2601607,260821
10259,10711
10259,10712
10259,101624
10259,10323
10259,10260
10259,10101
10259,10292
10259,10246
10259,10243
10259,10247
10259,10378
16302962,16302965
16302962,16302964
16302962,16302963
2601742,2601740
2601742,2601741
102518,2103062
102518,10434
102518,10204
102518,101482
102518,10435
102518,101484
102518,10205
102518,10436
102518,10437
102518,10290
102518,101486
1101273,1101275
1101273,1101272
1101273,1102697
1101273,1101274
2602494,2601183
2602494,2602496
2602494,2602495
1620745,16203021
1620745,1620743
1620745,16201647
30250,30249
110525,1101263
110525,1101214
110525,110526
110525,110283
110525,1103264
110525,1103222
110525,1101926
110525,1101927
110525,1103221
5802242,5802239
5802242,5802243
5802242,5802238
5802242,5802245
40575,40918
102996,101989
102996,10254
2903126,2903125
2903126,2903127
1101654,1101653
1101654,1101387
1101654,1101655
13203948,16303684
10384,10383
10384,10171
10384,10455
10384,10280
10384,10456
10384,10453
10384,101546
10384,10713
10384,10172
10384,10279
10384,10714
10384,101545
10384,10385
10384,101539
10384,101538
10384,101543
10384,101541
10384,101542
10384,101540
10384,10173
1102097,110466
1102097,1102816
1102097,1101778
1102097,110293
1102097,1102098
1102097,110344
1102097,110359
301131,301403
1102994,1101061
1102994,11072
1102994,11071
1102994,11074
3903162,3901095
3903162,3901094
3903162,3902410
3903162,3901093
3903162,3901843
250876,2503340
250876,250878
250876,250877
250876,250881
250876,250879
250876,2502277
1102644,1101265
1102644,1102609
1102644,1102484
1102644,1102454
1102644,1101407
1102644,110460
1102644,1102619
1102644,1102464
5702227,5702228
5702227,5702226
301648,302222
301648,30433
2502320,2503350
2502320,2503428
2502320,2503347
2502320,2502316
2502320,2502337
2502320,2503335
110381,110498
110381,1103105
110381,1102564
110381,110152
110381,110480
110381,110309
110381,1102459
110381,1101415
110381,11053
110381,1101414
110381,110382
110381,1101552
101590,10330
101590,101591
101590,101592
101590,10329
101590,101593
101590,101594
101590,101595
103954,101043
103954,101282
103954,101042
103954,101530
103954,101529
103954,101041
103954,101283
103954,102820
13803943,13803944
13803943,13803942
13803943,13803947
10412,101601
10412,10413
102492,103104
102492,103203
